,Russian,English,Chinese
222,"Тартар из оленины и нерки с сезонной черемшой, кололе из икры омуля, айоли тархун и огурцом в тыквенном масле","Venison and sockeye salmon steak tartare served with seasonal wild garlic, dried omul caviar, tarragon aioli and cucumber with pumpkin oil",鹿肉和红大麻哈鱼鞑靼排配熊葱、秋白鲑鱼子酱干、龙蒿泥蛋黄酱和黄瓜加南瓜油
223,"Бургер с фалангой краба, релишем из вяленой клюквы, криспи беконом, ложным чеддером, сезонной крапивой и муссом хрен-васаби","Crab phalanges burger with dried cranberry relish, crispy bacon, alternative cheddar cheese, seasonal nettle leaves and horseradish-wasabi mousse",蟹腿汉堡配切丁蔓越莓干、香脆培根、仿真切达干酪、荨麻和辣根芥末慕斯
224,"Окрошка с цыплёнком, заправкой на квасе и сорбетом из огурца, хрена и мяты","Okroshka cold soup with kvass and chicken served with sorbet of cucumber, horseradish and mint","克瓦斯冷杂拌汤配鸡肉, 黄瓜辣根和薄荷雪酪"
225,Зелёные щи на крапиве и щавеле с цыплёнком гриль,"Green shchi cabbage soup with grilled chicken, nettle and sorrel leaves",荨麻和酸模青菜汤配烤鸡
226,Пельмени со сморчками и сезонной крапивой,Dumplings with morels and seasonal nettle leaves,羊肚菌荨麻饺子
227,"Каре хакасского ягненка с полбой, эспумой из кабана и соусом порто с сезонной черешней","Khakass lamb rack garnished with spelt, wild boar foam and port wine sauce with seasonal wild cherries",哈卡斯羊腰肉配二粒小麦、野猪泡沫、波特酱和樱桃
228,Берёзовая панна-котта с сорбетом из зелёных яблок и молодыми еловыми побегами,Birch panna cotta with green apple sorbet and fresh fir shoots,白桦奶冻配青苹果雪酪及冷杉嫩芽
229,дегустационный сет,Tasting set,
230,РИТУАЛЫ,The rituals,
231,Чолуукшур. Ритуал приветствия,Choluukshur. The greeting ritual.,
232,"Кедровый сыр, чипсы из молочной пены, трюфельный жу, икра из выдержанного сыра","Cedar nut cheese, milk foam chips, truffle jus and aged cheese caviar",
233,Оваа. Ритуал благодарности духам,Ovva. The spirits gratitude ritual.,
234,"Хрустящий камень, косуля, брусника, чёрный чеснок, бархатцы","Crispy rock of roe deer, cranberries, black garlic and marigold flowers",
235,Шаманский гриб. Ритуал-противоядие,Shaman mushroom. The antivenom ritual.,
236,"Суп-капучино на суттуг шай, сендвич из мухомора",Suttug shai tea cappuccino-soup and fly agaric sandwich,
237,Сороки. Ритуал заклинания весны,Magpies. The spring summoning ritual.,
238,"Птичка-пирог, перепёлка, фуагра, вяленный як, ряженка с хреном","Bird-shaped pie with quail, foie gras, dried yak meat and horseradish ryazhenka  ",
239,Имты. Ритуал кормления огня,Imty. The fire feeding ritual.,
240,"Блэк ангус, взбитый жир с мисо, соус из крови марала","Black angus, whipped fat with miso, served with deer blood sauce",
241,Хой. Ритуал благословения предков,Hoy. The ancestral blessing ritual.,
242,"Голова барана – щёки, язык, зобная железа, крем из печёного перца и кукурузы","Sheep cheek, tongue, sweetbread, roasted pepper and corn cream served in a sheep skull",
243,Калинник. Ритуал сеяния,Kalinnik. The sowing ritual.,
244,"Калиновый кисель, вода смородина-красный апельсин, сырный крем","Guelder rose jelly, currant and red orange water, cheese cream",
245,Обереги. Финальный ритуал инициации,Amulets. The final initiation ritual.,
246,"Березовая меренга, гель из березового сока, крем базилик","Birch meringue, birch sap gel and basil cream",
247,Матрешка-шаман с тремя тотемными животными,"Shaman and totem animals Russian dolls hand-painted by an artist of Evenk ""Haivalam Brand""",
248,Конфеты ручной работы «Вкусы Енисейской Сибири» ,"Handmade sweets ""Flavours of the Yenisey Siberia""",
249,8 шт. Пихта-кедровый орех / вяленый марал-тёмный шоколад,8 pcs set. Fir and pine nuts/Dried elk meat with dark chocolate,
250,Коппа тувинского яка,Tuvan yak coppa,
251,Авторские травяные сборы ,Original herbal collection,
252,"На выбор: «Цветы востока», «Душа тайги», «Сказочный лес»","Sets: Flowers of the East"", ""Spirit of Taiga"", ""Fairytail forest""",
253,Настойка в подарочном тубусе ,Alcoholic tincture in a gift tube,
254,Облепиховка/сибирская ирга на таволге/джин на чёрной смородине и пихте/водка на печёных яблоках/кедровка на морошке и листьях смородины/джин на малине/черноплодка/хреновуха,"Sea buckthorn / Siberian amelanchier and meadowsweet / gin of blackcurrant and fir / baked apples  vodka / pine nut, cloudberries and currant leaves / gin of raspberries / chokeberry / horseradish",
255,"В ресторане можно приобрести подарочные сертификаты номиналами 2000, 3000, 5000 и 10000 рублей. Каждый сертификат вручную запечатывается сургучной печатью с петроглифом, а сертификаты номиналами от 5000 тысяч упаковываются в фирменные чёрные хлопковые мешки.","The restaurant provides gift certificates of 2000, 3000, 5000 and 10000 rubles. Each certificate is hand-sealed with a petroglyph stamp. Certificates of 5,000 or above are packaged in branded cotton black bags.",
261,Нельма,Nelma,白北鲑
262,Чир ,Broad whitefish,宽鼻白鲑
265,Тугун,Tugun,图冈白鲑
267,Устрица ,Oyster ,牡蛎
272,Хариус ,Grayling,茴鱼卵
275,Марал,Siberian stag,干熟马鹿肉
276,Лось,Elk,干熟驼鹿肉
278,Тартар из хакасской говядины с дегидрированным тувинским яком в картофельной канеле с соусом из печёного перца,Khakass beef tartare with dehydrated Tuvan yak in potato canela with roasted pepper sauce,鞑靼哈卡斯牛肉排配腌泰加熊葱和烤饼
279,Тартар из корейки косули с тоннато на тугуне на стеклянном хлебе с юколой лося / корзинка с дикой стерлядью и сырным муссом с икрой из зелёного горошка с копчёным желтком / пате из марала в ежевичной глазури,Khakass beef tartare with dehydrated Tuvan yak in potato canela with roasted pepper sauce,鞑靼狍子排配图冈白鲑酱、玻璃面包​​和干制鹿肉 / 小体鲟馅点心配奶酪慕斯、青豌豆鱼子酱和烟熏蛋黄 / 黑莓釉鹿肉酱
280,Сугудай из нельмы с маринованным яблоком и пряным лимонным маслом в канеле из родниковой воды,Nelma sugudai with pickled apples and spicy lemon oil in a spring water canelé,泉水可麗露配白北鲑片、腌苹果和麻辣柠檬油
281,"Сет бонбонов «Овощной салат»
малосольный огурец  / сметана-чеснок / маринованные томаты","Set of bon-bons ""Vegetable salad""   salted cucumber / sour cream-garlic / pickled tomatoes",蔬菜沙拉丸子 腌黄瓜/酸奶油配大蒜/腌番茄
282,Хрустящие камни с сырным кремом на копчёном хариусе и юколой нерки с икрой хариуса,"Crispy rocks with smoked grayling-cheese cream, nelma yukola and grayling caviar",熏茴鱼奶油奶酪、干红大麻哈鱼、茴鱼卵的脆石
283,"Лепёшка из печи с ростбифом, соусом тоннато на тугуне и маринованным огурцом","Oven-baked flatbread with roast beef, tugun tonnato and pickled cucumbers",烤饼配烤牛肉、图冈白鲑酱和腌黄瓜
284,Туруханский муксун в остром свекольном креме с маринованными черри и кинзой,Turukhansk muksun in spicy beetroot cream with pickled cherry tomatoes and cilantro,图鲁汉斯克穆森白鲑配辣甜菜根奶油、腌圣女果和香菜
285,Тартар из оленя на профитролях из тувинского далгана с икрой хариуса,Deer tartare in Tuva dalgan profiteroles with grayling caviar,鞑靼鹿肉排配图瓦大麦面粉空心咸饼和茴鱼卵
286,Бочковые рыжики со сметанным муссом на хрене и огурцами в укропном масле с маринованным луком,Forest mushrooms with horseradish sour cream mousse and cucumbers in dill oil with pickled onions,盐渍松乳菇配辣根酸奶油慕斯、黄瓜和腌洋葱加莳萝油
287,"Разные сыры с абанским мёдом, ягодным мармеладом и грецким орехом","Various cheeses with blueberries, local honey, berry marmalade and walnut",各种奶酪配阿班蜂蜜、浆果软糖和核桃
288,"Брускетта с печёным баклажаном, страчателлой и грецким орехом","Bruschetta with baked eggplant, stracciatella and walnut",意式烤面包配烤茄子、斯特拉奇亚泰拉软质干酪和核桃
289,Брускетта с камчатским крабом и копчёным хариусом,Bruschetta with red king crab and smoked grayling,意式烤面包配帝王蟹和烟熏茴鱼
291,"Зелёный салат с арбузной редькой и брокколи, авокадо, цукини и разными листьями
в медовом винегрете","Green salad with watermelon radish, broccoli, avocado, zucchini and leaves served with honey vinaigrette",萝卜、西兰花、鳄梨、西葫芦、生菜和蜂蜜油醋汁的绿色沙拉
292,"Стейк-салат с мраморной говядиной Black Angus с молодым картофелем, битыми огурцами, печёными перцами и разными листьями
в горчичном дипе","Marbled Black Angus beef with baby potatoes, smashed cucumbers, roasted peppers and assorted leaves in a mustard dip",大理石型安格斯牛肉排配新土豆、拍黄瓜、烤菜椒、生菜和芥末酱
293,"Тигровые креветки с домашней страчателлой, горошком и листьями ромейна
с огуречным кетчупом","Tiger prawns with homemade stracciatella, peas and romaine lettuce served with cucumber ketchup",虎虾配自制斯特拉奇亚泰拉软质干酪、豌豆、罗马生菜和黄瓜番茄酱
294,"Чафан на морковном хумусе с телятиной, вешенками и хрустящим картофелем","Chafan salad with veal, oyster mushrooms and crispy potatoes on carrot hummus ",胡萝卜鹰嘴豆泥、小牛肉、平菇和脆土豆的沙拉
295,"Чёрный оливье с камчатским крабом, малосольным лососем и икрой кижуча","Black Russian salad with red king crab, lightly salted salmon and silver salmon caviar",黑色俄国沙拉配帝王蟹、微咸鲑鱼和银大麻哈鱼卵
296,"Салат с малосольной неркой, угольным картофелем, томатами черри с хреном в горчичном дрессинге ","Salad with salted sockeye salmon, charcoal potatoes, cherry tomatoes and horseradish in mustard dressing",腌红大麻哈鱼、木炭烤土豆、圣女果和辣根沙拉
297,Цыплёнок гриль с хрустящими баклажанами и киноа с маринованными томатами и кинзой в соусе чили терияки,Grilled chicken with crispy eggplant and quinoa with marinated tomatoes and cilantro in teriyaki chili sauce,烤鸡配照烧辣椒酱、脆茄子、藜麦、腌制番茄和香菜
299,"Крем из запечённых в печи тыквы и моркови с имбирём, тигровыми креветками гриль
и попкорном из гречки","Oven baked pumpkin and carrot cream with ginger, grilled tiger prawns and buckwheat popcorn",烤南瓜、胡萝卜和生姜奶油配烤虎虾和荞麦爆米花
300,Уха из северных рыб с молоками лосося и томатом,Traditional russian fish soup uha with salmon milt and tomato,北鱼汤配鲑鱼精和番茄
301,"Борщ с копчёным гусем, фермерским копчёным салом и сметаной","Borscht with smoked goose traditionally smoked lard, served with sour cream",罗宋汤配熏鹅肉、熏萨洛和酸奶油
303,Чёрные буузы лотос с острой хакасской бараниной в пряном соус из трав и ткемали,"Black lotus-shaped buuz with spicy Khakass lamb, spicy herb-tkemali sauce and cold kuksu broth",黑色蒙古包子配辣哈卡斯羊肉、 香草特克马里酱和冷肉汤
304,Пельмени с дичью в крепком бульоне из белых грибов,Wild meat dumplings in strong porcini mushrooms broth,野味饺子配浓牛肝菌汤
305,Пельмени из северных рыб в копчёном рыбном бульоне с икрой лосося,Northern fish dumplings in smoked fish broth with salmon caviar,北鱼饺子配熏鱼汤和鲑鱼卵
306,Тувинские чебуреки хуужуры с оленем и бараньим салом с соусом на курут,Tuvan venison and mutton fat khuushuur with kashk dipping sauce,图瓦合子配鹿羊板油和奶疙瘩酱
307,"Пельмени с камчатским крабом
и тигровыми креветками в трюфельном голландезе на апельсине",Dumplings with king crab and tiger prawns in truffle orange hollandaise,帝王蟹和虎虾饺子配松露橙汁荷兰酱
309,"Камчатская нерка в хрустящем кляре с вуалью из креветок и острым соусом из шампанского, водорослями и цветной капустой","Kamchatka sockeye salmon in crispy batter with a veil of shrimp and spicy champagne sauce, seaweed and cauliflower",堪察加红大麻哈鱼配酥脆面糊、虾面纱和麻辣香槟酱、海藻和花椰菜
310,"Домашняя лапша с магаданскими креветками и белыми грибами в креветочном биске
с вяленым желтком","Homemade noodles, Magadan shrimps and porcini mushrooms in shrimp bisque with dried yolk",自制面条配马加丹虾、牛肝菌、虾法式浓汤和干蛋黄
311,Котлета из дикого кабана со сморчками и белыми грибами с чесночным пюре и бараньим жу,Wild boar cutlet with morels and porcini mushrooms served with garlic purée and lamb jus,野猪排配羊肚菌、牛肝菌、蒜泥和羊肉汁酱
312,Енисейский сиг в релише из белых грибов и мидий с трюфельной перловкой,Yenisei whitefish served with mushroom relish and mussels with truffle pearl barley,叶尼塞突唇白鲑配切丁牛肝菌和贻贝、松露大麦米
313,"Таймырский палтус в сырном биске из раков
с картофельным кремом и молодыми листьями","Taimyr halibut garnished with crayfish cheese bisque, potato purée and baby leaves",泰梅尔大比目鱼配小龙虾、奶酪法式浓汤、土豆奶油和嫩生菜
314,Жареный сахалинский гребешок с фуагра и тёртой юколой оленя,Fried Sakhalin scallop with foie gras and finely grated deer yukola,煎萨哈林扇贝配鹅肝和擦干制鹿肉
316,"Корейка косули малой прожарки с грибным демигласом, брокколи и картофельными пельменями","Rare roe deer venison loin, with mushroom demi-glace, broccoli and potato dumplings",一分熟狍子腰肉配蘑菇半釉汁、西兰花和土豆丸子
317,Стейк Портерхаус Black Angus на компанию,Black Angus porterhouse steak for a company,安格斯红屋牛排
318,Камчатская нерка в грибной глазури с цукини и шпинатом и соусом из сморчков,"Kamchatka sockeye salmon in mushroom glaze with zucchini and spinach, garnished with morel sauce",蘑菇釉堪察加红大麻哈鱼配西葫芦、菠菜和羊肚菌酱
319,"Таймырский олень с глазированной свеклой, айоли из черемши и чёрного чеснока с порто, костным мозгом и маринованной черешней","Taimyr venison with glazed beets, wild garlic and black garlic aioli with port wine, bone marrow and pickled cherries",泰米尔鹿肉配甜菜、波特酒熊葱和黑蒜蓉蛋黄酱、牛骨髓和腌樱桃
320,Мурманская форель с муссом из копчёного лосося и картофелем из печи с огуречным соусом,Murmansk trout with smoked salmon mousse and oven-baked potatoes with cucumber sauce,摩尔曼斯克鳟鱼配烟熏鲑鱼慕斯、烤土豆和黄瓜酱
321,Форель запечённая на лиственной доске с угольным картофелем и трюфельным соусом с каперсами из одуванчика,Trout baked on a leaf with charcoal potatoes and truffle sauce with dandelion capers,叶上烤鳟鱼配木炭烤土豆、松露酱和腌蒲公英花蕾
322,Креветки на гриле с пюре манго и песто из петрушки,Grilled shrimp with mango purée and parsley pesto,烤虾配芒果泥和香芹香蒜酱
323,Стейк Стриплойн Black Angus с квашеной капустой и брусникой,Black Angus striploin steak with sauerkraut and cranberries,安格斯纽约客牛排配酸白菜和越橘
324,Стейк Рибай Black Angus с квашеной капустой и брусникой,Black Angus ribeye steak with sauerkraut and cranberries,安格斯牛肋眼排配酸白菜和越橘
325,Стейк Денвер Black Angus с квашеной капустой и брусникой,Black Angus denver steak with sauerkraut and cranberries,安格斯丹佛牛排配酸白菜和越橘
327,Говяжье ребро из печи в костном жу и соусе из печёного перца с капустным стейком,"Wood stove-baked beef rib with bone jus, roasted pepper sauce and cabbage steak",烤牛肋骨配骨肉汁酱、烤彩椒酱和烤卷心菜
328,"
Фермерская перепёлка, фаршированная картофелем и белыми грибами с кедровым орехом","Farm quail stuffed with potatoes, porcini mushrooms and pine nuts, served with vanilla-celery purée and pickled rowanberries",土豆和牛肝菌鹌鹑配雪松果、香子兰芹菜泥和腌花楸果
329,"Фермерская перепёлка, чинённая креветкой и шпинатом со слоёным курником и трюфельным жу ","Farm quail stuffed with shrimps and spinach, served with puff chicken pie and truffle jus",虾和菠菜鹌鹑配鸡肉馅饼和松露汁
330,Енисейский ленок с печеной капустой в соусе из шампанского с икрой,"Yenisei asiatic trout with baked cabbage, champagne sauce and grayling caviar",叶尼塞细鳞鲑配烤卷心菜、茴鱼卵和香槟酱
331,Цыплёнок в глазури из трюфельного мёда с кукурузным муссом и припущенным шпинатом с кедровым орехом,Chicken in truffle honey glaze with corn mousse and poached spinach served with pine nuts,松露蜜汁鸡配玉米慕斯、雪松果和炖菠菜
332,Утиная ножка конфи с муссом из подкопчённого топинамбура и чипсами из сезонных корнеплодов,Duck leg confit with smoked Jerusalem artichoke mousse and seasonal root vegetable chips,油封鸭腿配烟熏洋姜慕斯和根菜脆片
334,Королевские шампиньоны гриль с песто из петрушки на кедровом орехе,Grilled white mushrooms with parsley pesto sprinkled with pine nuts,烤白蘑菇配香芹香蒜酱和雪松果
335,Авокадо гриль со сметаной и кунжутным релишем,Grilled avocado with sour cream and sesame relish,烤鳄梨配酸奶油和芝麻酱
336,"Баклажан из печи с терияки, ореховым соусом и страчателлой",Wood stove baked eggplant garnished with teriyaki and nut sauce with stracciatella,烤照烧茄子配坚果酱和斯特拉奇亚泰拉软质干酪
337,"Баклажан из печи в ореховом соусе, зелёной глазури и терияки с лесными орехами ",Wood stove-baked glazed eggplant in nut and  teriyaki sauce with hazelnuts,烤茄子配坚果酱照烧、绿糖衣和榛子
338,Цукини гриль с песто из петрушки на кедровом орехе,Grilled zucchini with homemade pine tree parsley pesto sauce,烤西葫芦配香芹香蒜酱和雪松果
339,Картофель из печи с копчёным сливочным маслом и сметаной,Baked potatoes with smoked butter and sour cream,烤土豆配烟熏黄油和酸奶油
340,Брокколи с сырным соусом и черри,Broccoli with cheese sauce and cherry tomatoes,西兰花配圣女果和奶酪酱
342,"Берёза-Берёза - берёзовое мороженое, берёзовое суфле, берёзовый гель, берёзовые чипсы","Birch dessert of birch ice cream with birch soufflé, birch gel and birch chips",桦木冰淇淋、桦木舒芙蕾、桦木冻胶、桦木炸片
343,Подснежник с черносливом и грецким орехом с фермерской сметаной и лимонным желе с меренгой и белым шоколадом,"Snowdrop with prunes and walnuts with farm sour cream, lemon jelly with meringue and white chocolate",雪花莲配李子、核桃、酸奶油、柠檬果冻、配蛋白酥和白巧克力
344,Бордовая Павлова с сорбетом из жимолости и маринованной черешней,Burgundy Pavlova with honeysuckle sorbet and pickled cherries,深红色的巴甫洛娃蛋糕配金银花冰糕和腌樱桃
345,"Шоколадный фондан с мороженым
из грецкого ореха, чёрной смородиной компотэ и горячим ванильным соусом","Chocolate fondant with walnut ice cream, blackcurrant compôte and hot vanilla sauce",熔岩巧克力蛋糕配核桃冰淇淋、黑醋栗糖煮水果和热香荚兰酱
346,"«Золотая баба» на роме с облепиховым ганашем таймырской морошкой и брусникой
с сусальным золотом Совместно с ювелирным домом «Ремикс»","Golden Baba au rhum with sea buckthorn ganache, Taimyr cloudberries and cranberries wuth golden leaf (in collaboration with jewelry house ""Remix"")",金叶兰姆巴巴配沙棘果甘纳许、泰梅尔云莓、越橘 (在跟Remix珠宝首饰公司合作中）
347,Тирамису с кремом на белых грибах и шоколадным бисквитом,Tiramisu with porcini mushroom cream and chocolate biscuit,牛肝菌奶油和巧克力海綿的提拉米苏蛋糕
348,"Домашний чизкейк с карамелью, голубикой, пломбирным кремом и лесными орехами","Homemade cheesecake with caramel, blueberry, ice cream mousse and nuts",焦糖、蓝莓、冰淇淋和榛子的芝士蛋糕
349,Чёрный медовик с кремом из халвы и кардамона с трюфельным мороженым,"Black honey cake with halva and cardamom cream, served with truffle ice cream",黑蜂蜜蛋糕配酥糖、小豆蔻奶油和松露冰淇淋
350,Сет конфет ручной работы «Вкусы Енисейской Сибири»,"Set of handmade sweets ""Tastes of the Yenisei Siberia"" ",《叶尼塞西伯利亚的味道》手工糖果包
352,Конфета из тёмного шоколада с вяленой клюквой и кедровым орехом,Dark chocolate sweets with dried cranberries and pine nuts,干蔓越莓和雪松果黑巧克力糖
353,Таёжная брусника с абанским мёдом и кедровым орехом,Taiga cranberries with Aban honey and pine nuts,泰加越橘配阿班蜂蜜和雪松果
